Target	Compound	True	RFR	MLPR	LR
CHEMBL260	CHEMBL2409781	-6.907755	-6.6878776434880205	-6.805124020983008	-6.115755847336592
CHEMBL4722	CHEMBL604485	-5.703782	-5.122296348589083	-4.487478850042756	-5.295241305241953
CHEMBL2695	CHEMBL2414545	-6.369901	-7.142470430661477	-6.644454280415188	-6.604762367734506
CHEMBL3038477	CHEMBL3924407	-2.302585	-2.9440489125544143	-2.139536465334407	-3.1174533361039574
CHEMBL2996	CHEMBL306623	-3.555348	-2.7319634582916494	-3.3680018030047285	-3.6344650992300847
CHEMBL4722	CHEMBL2071201	-1.098612	-4.149763970815437	-2.2927551611831647	-3.833679472162993
CHEMBL2148	CHEMBL385937	-2.995732	-5.693736612657883	-2.6303322602915356	-6.207304642290151
CHEMBL2147	CHEMBL3973689	-2.197225	-3.5303875712365693	-4.394287622352806	-3.364828743936735
CHEMBL5147	CHEMBL1241587	-8.006368	-7.4002878578503655	-8.75354795435118	-7.439616967270063
CHEMBL308	CHEMBL1964260	-3.663562	-4.309116416332023	-3.750315243601766	-4.1297215323339875
CHEMBL3234	CHEMBL1242294	-2.70805	-5.397398713456352	-2.66592640245357	-5.7468184607068515
CHEMBL4523	CHEMBL1910914	-2.302585	-4.140193526650072	-2.959428406283661	-5.292584911417785
CHEMBL2358	CHEMBL3931631	-6.907755	-7.049289956392634	-6.962385167883101	-7.206763663392481
CHEMBL1936	CHEMBL3086175	-4.787492	-5.704740339566377	-4.821114942274891	-4.854833974227816
CHEMBL3629	CHEMBL3681199	-4.094345	-3.5998956020622495	-4.070559610195435	-4.387105953651228
CHEMBL279	CHEMBL607707	-8.049108	-5.713508545035572	-8.277812034165448	-6.037992484832234
CHEMBL1824	CHEMBL3930270	-5.438079	-4.059172710573412	-3.558756737631171	-4.047701983499358
CHEMBL203	CHEMBL3905242	-5.459586	-5.422097045038944	-4.64715404135339	-5.552757977126813
CHEMBL1862	CHEMBL381743	-6.907755	-4.983130089617157	-3.6884447722585016	-5.010195881720712
CHEMBL3629	CHEMBL2087021	-8.411833	-8.718065	-8.69126975324648	-7.730798240767336
CHEMBL3553	CHEMBL3747305	-7.154615	-5.201400569305091	-6.628344076404043	-4.132633836797049
CHEMBL203	CHEMBL3797606	-5.60433	-5.587318993979926	-4.013759361393856	-4.343678066965948
CHEMBL3529	CHEMBL3939994	-6.907755	-5.671621674509969	-6.46293525070021	-5.368779829212521
CHEMBL203	CHEMBL596957	-4.276666	-4.613556174321892	-3.675321682388738	-5.816804312494723
CHEMBL1936	CHEMBL1823220	-7.792349	-8.387322873874636	-7.586299850173732	-9.078031828930582
CHEMBL299	CHEMBL1996510	0.693147	-3.6872886200000012	-0.5315159785161754	-1.7837951834016863
CHEMBL1824	CHEMBL214419	-5.886104	-4.8781301805079185	-4.528716908600933	-4.385598784715985
CHEMBL203	CHEMBL3752337	-6.907755	-4.9020939311372524	-4.099820362588744	-3.955690306480225
CHEMBL4040	CHEMBL4089159	-4.110874	-6.8135510199999985	-6.144804617264992	-6.137615564070454
CHEMBL279	CHEMBL3892632	-8.703772	-7.578863921529389	-8.518418407763509	-7.270650768774219
CHEMBL203	CHEMBL2325098	-6.565265	-5.332825503701025	-4.109021964184164	-5.8825062848379925
CHEMBL2148	CHEMBL3675908	-6.907755	-5.954321409042689	-5.3382872882485	-6.477028343094053
CHEMBL2828	CHEMBL3965423	-3.941582	-1.9821515066588624	-2.9386457186425106	-2.4074367450063776
CHEMBL2599	CHEMBL2336005	-3.226844	-4.79609262339686	-6.869581341478364	-5.226850135944933
CHEMBL3973	CHEMBL3936673	-4.213756	-3.661796890212355	-3.5904872312519243	-4.323365894256496
CHEMBL1957	CHEMBL318804	-4.189655	-6.162968198019175	-4.74190949349615	-5.2109403204166895
CHEMBL2095942	CHEMBL139653	-2.079442	-4.583269434850042	-5.1971022670670415	-4.565083440010897
CHEMBL279	CHEMBL1276981	-2.639057	-2.7155662665051348	-2.6804770590493066	-3.6974619735127874
CHEMBL2828	CHEMBL2312652	-8.411833	-5.934597212777291	-6.542305393564345	-5.532377348997063
CHEMBL2185	CHEMBL1964276	-4.574711	-3.1396703619776734	-1.0664783517386067	-3.35926597489906
